Количество модулей;1 модуль;1 модуль;1 модуль;1 модуль;1 модуль;2 модуля;2 модуля;2 модуля;2 модуля;2 модуля;3 модуля;3 модуля;3 модуля;3 модуля;3 модуля
Вылет\Ширина (м);2.5;3.0;3.5;4.0;4.5;5.0;6.0;7.0;8.0;9.0;7.5;9.0;10.5;12.0;13.5
2.5;5431;5945;6460;6974;7488;10289;11317;12347;13375;14403;15147;16689;18234;19776;21318
3.0;6045;6638;7230;7823;8415;11517;12703;13887;15073;16257;16989;18768;20544;22323;24099
3.5;6659;7330;8000;8671;9342;12745;14087;15427;16769;18111;18831;20844;22854;24867;26880
4.0;7273;8022;8771;9520;10269;13973;15471;16969;18467;19965;20673;22920;25167;27414;29661
4.5;7887;8714;9541;10369;11196;15201;16855;18509;20165;21819;22515;24996;27477;29961;32442
5.0;8501;9406;10312;11217;12123;16429;18239;20051;21861;23673;24357;27072;29790;32505;35223
5.5;9115;10098;11082;12066;13050;17657;19623;21591;23559;25527;26199;29148;32100;35052;38004
6.0;9729;10791;11852;12914;13976;18885;21009;23131;25255;27379;28041;31227;34410;37596;40782
6.5;10342;11483;12623;13763;14903;20111;22393;24673;26953;29233;29880;33303;36723;40143;43563
7.0;11522;12740;13959;15177;16395;22471;24907;27345;29781;32217;33420;37074;40731;44385;48039
7.5;12135;13432;14729;16026;17232;23697;26291;28885;31479;34071;35259;39150;43041;46932;50820
8.0;13749;14124;15499;16874;18249;26295;27675;30425;33175;35925;40101;41226;45351;49476;53601
