Количество модулей;1 модуль;1 модуль;1 модуль;1 модуль;2 модуля;2 модуля;2 модуля;2 модуля;2 модуля;3 модуля;3 модуля;3 модуля;3 модуля;3 модуля
Вылет\Ширина (м);3.0;3.5;4.0;4.5;6.0;7.0;8.0;9.0;10.0;9;10.5;12.0;13.5;15.0
2,45;6245;6810;7375;7940;11917;13047;14177;15307;16437;17589;19284;20979;22674;24369
2,85;6866;7504;8142;8780;13159;14435;15711;16987;18265;19452;21366;23280;25194;27111
3,25;7487;8198;8910;9621;14401;15823;17247;18669;20093;21315;23448;25584;27717;29853
3,65;8108;8893;9677;10462;15643;17213;18781;20351;21921;23178;25533;27885;30240;32595
4,05;8729;9587;10445;11303;16885;18601;20317;22033;23749;25041;27615;30189;32763;35337
4,45;9350;10218;11212;12144;18127;19989;21851;23715;25577;26904;29697;32490;35286;38079
4,85;9971;10976;11980;12984;19369;21379;23387;25395;27405;28767;31782;34794;37806;40821
5.25;10592;11670;12748;13825;20611;22767;24923;27077;29233;30630;33864;37098;40329;43563
5.65;11213;12364;13515;14666;21853;24155;26457;28759;31061;32493;35946;39399;42852;46305
6.05;11834;13058;14283;15507;23095;25543;27993;30441;32889;34356;38028;41703;45375;49047
6.45;12455;13753;15050;16348;24337;26933;29527;32123;34717;36219;40113;44004;47898;51789
6.85;13076;14447;15818;17189;23579;28321;31063;23805;36545;38082;42195;36308;50421;54531
7.25;14263;15707;17151;18595;27953;30841;33729;36617;39505;41643;45975;50307;54639;58971
7.65;14884;16401;17918;19435;29195;32229;35263;38297;41333;43506;48057;52608;57159;61713
8,05;15505;17095;1686;20276;30437;33617;36799;39979;43161;45369;50139;54912;59682;64455
