Количество модулей;1 модуль;1 модуль;1 модуль;1 модуль;1 модуль;1 модуль;1 модуль;1 модуль;1 модуль;1 модуль;1 модуль;1 модуль;1 модуль;1 модуль;1 модуль;1 модуль;1 модуль;1 модуль;1 модуль;1 модуль;1 модуль;1 модуль;1 модуль;1 модуль;1 модуль
Вылет\Ширина (м);2.5;2.9;3.3;3.7;4.1;4.5;4.9;5.3;5.7;6.1;6.5;6.9;7.3;7.7;8.1;8.5;8.9;9.3;9.7;10.1;10.5;10.9;11.3;11.7;12.1
2.5;2604;2900;3196;3491;3787;4083;4379;4674;4970;5266;5562;5857;6153;6449;6745;7040;7336;7632;7928;8223;8519;8815;9111;9406;9702
3;2873;3207;3541;3875;4209;4543;4878;5212;5546;5880;6214;6548;6882;7216;7550;7884;8219;8553;8887;9221;9555;9889;10223;10557;10891
3.5;3142;3514;3887;4259;4632;5004;5377;5749;6122;6494;6866;7239;7611;7984;8356;8729;9101;9473;9846;10218;10591;10963;11336;11708;12081
4;3411;3822;4233;4643;5054;5465;5876;6287;6697;7108;7519;7930;8340;8751;9162;9573;9984;10394;10805;11216;11627;12037;12448;12859;13270
4.5;3680;4129;4578;5027;5477;5926;6375;6824;7273;7722;8171;8620;9070;9519;9968;10417;10866;11315;11764;12213;12663;13112;13561;14010;14459
5;4975;5567;6158;6750;7341;7933;8524;9116;9707;10299;10890;11482;12073;12665;13256;13848;14439;15031;15622;16214;16805;17397;17988;18580;19171
6;5513;6181;6849;7518;8186;8854;9522;10190;10859;11527;12195;12863;13531;14200;14868;15536;16204;16872;17540;18209;18877;19545;20213;20881;21550
7;6051;6796;7541;8286;9031;9775;10520;11265;12010;12755;13500;14245;14990;15735;16479;17224;17969;18714;19459;20204;20949;21694;22438;23183;23928
7.5;7346;8233;9121;10008;10895;11782;12670;13557;14444;15331;16219;17106;17993;18880;19768;20655;21542;22429;23317;24204;25091;25978;26866;27753;28640
8;6589;7411;8232;9054;9875;10697;11519;12340;13162;13983;14805;15626;16448;17269;18091;18913;19734;20556;21377;22199;23020;23842;24664;25485;26307
9;8153;9155;10158;11160;12162;13165;14167;15169;16171;17174;18176;19178;20180;21183;22185;23187;24190;25192;26194;27196;28199;29201;30203;31206;32208
10.5;8960;10077;11195;12312;13429;14547;15664;16781;17899;19016;20133;21251;22368;23485;24603;25720;26837;27955;29072;30189;31306;32424;33541;34658;35776
12;9767;11000;12232;13464;14697;15929;17161;18394;19626;20858;22091;23323;24555;25788;27020;28252;29485;30717;31949;33182;34414;35647;36879;38111;39344
13.5;10574;11922;13269;14616;15964;17311;18659;20006;21353;22701;24048;25395;26743;28090;29438;30785;32132;33480;34827;36175;37522;38869;40217;41564;42911
