Количество модулей;1 модуль;1 модуль;1 модуль;1 модуль;1 модуль;1 модуль;1 модуль;1 модуль;1 модуль;1 модуль;1 модуль;1 модуль;1 модуль;1 модуль;1 модуль;1 модуль;1 модуль;1 модуль;1 модуль;1 модуль
Вылет\Ширина (м);2.6;3.1;3.6;4.1;4.6;5.1;5.6;6.1;6.6;7.1;7.6;8.1;8.6;9.1;9.6;10.1;10.6;11.1;11.6;12.1
2.5;2436;2758;3080;3402;3723;4045;4367;4689;5011;5333;5654;5976;6298;6620;6942;7264;7586;7907;8229;8551
3;2666;3027;3387;3747;4107;4467;4828;5188;5548;5908;6268;6629;6989;7349;7709;8069;8430;8790;9150;9510
3.5;2897;3296;3694;4093;4491;4890;5288;5687;6085;6484;6882;7281;7680;8078;8477;8875;9274;9672;10071;10469
4;3127;3564;4001;4438;4875;5312;5749;6186;6623;7060;7496;7933;8370;8807;9244;9681;10118;10555;10992;11429
4.5;3358;3833;4308;4784;5259;5734;6209;6685;7160;7635;8110;8586;9061;9536;10011;10487;10962;11437;11912;12388
5;4639;5283;5926;6570;7214;7857;8501;9145;9789;10432;11076;11720;12363;13007;13651;14294;14938;15582;16226;16869
6;5100;5820;6541;7261;7982;8702;9422;10143;10863;11584;12304;13024;13745;14465;15186;15906;16626;17347;18067;18788
7;5561;6358;7155;7952;8749;9546;10344;11141;11938;12735;13532;14329;15126;15923;16720;17517;18315;19112;19909;20706
7.5;6842;7808;8773;9739;10704;11670;12635;13601;14566;15532;16497;17463;18429;19394;20360;21325;22291;23256;24222;25187
8;6022;6896;7770;8643;9517;10391;11265;12139;13012;13886;14760;15634;16508;17381;18255;19129;20003;20877;21750;22624
9;7533;8614;9695;10775;11856;12936;14017;15098;16178;17259;18339;19420;20501;21581;22662;23742;24823;25904;26984;28065
10.5;8225;9421;10616;11812;13008;14203;15399;16595;17790;18986;20181;21377;22573;23768;24964;26160;27355;28551;29747;30942
12;8916;10227;11538;12849;14159;15470;16781;18091;19402;20713;22023;23334;24645;25956;27266;28577;29888;31198;32509;33820
13.5;9608;11034;12459;13885;15311;16737;18162;19588;21014;22440;23865;25291;26717;28143;29568;30994;32420;33846;35271;36697
