Количество модулей;1 модуль;1 модуль;1 модуль;1 модуль;1 модуль;2 модуля;2 модуля;2 модуля;2 модуля;3 модуля;3 модуля;3 модуля;3 модуля;3 модуля
Вылет\Ширина (м);2.5;3;3.5;4;4.5;5;6;7;8;7.5;9;10.5;12;13.5
2.5;5489;5975;6461;6947;7433;10405;11377;12349;13321;15321;16779;18237;19695;21153
3;6081;6638;7196;7753;8311;11589;12703;13819;14933;17097;18768;20442;22113;23787
3.5;6672;7301;7930;8559;9188;12771;14029;15287;16545;18870;20757;22644;24531;26418
4;7264;7965;8665;9366;10066;13955;15357;16757;18159;20646;22749;24849;26952;29052
4.5;7856;8628;9400;10172;10944;15139;16683;18227;19771;22412;24738;27053;29370;31686
5;8448;9291;10134;10978;11821;16323;18009;19695;21383;24198;26727;29256;31788;34317
5.5;9039;9954;10869;11784;12699;17505;19335;21165;22995;25971;28716;31461;34206;36951
6;9631;10617;11604;12590;13576;18689;20661;22633;24607;27747;30705;33666;36624;39582
6.5;10223;11281;12338;13396;14454;19873;21989;24103;26219;29523;32697;35868;39042;42216
7;11388;11980;12571;13163;13755;22203;24461;26719;28977;33308;36405;39502;42599;45696
7.5;11980;12571;13163;13755;14347;23387;25787;28187;30587;34794;38394;41994;45594;49194
8;12571;13163;13755;14347;14939;24569;27113;29657;32201;36567;40383;44199;48015;51831
