Количество модулей;1 модуль;1 модуль;1 модуль;1 модуль;2 модуля;2 модуля;2 модуля;2 модуля;3 модуля;3 модуля;3 модуля;3 модуля
Вылет\Ширина (м);2.5;3;3.5;4;5;6;7;8;7.5;9;10.5;12
2.5;3653;3970;4287;4604;6979;7613;8247;8881;10479;11430;12381;13332
3;3782;4099;4416;4733;7241;7875;8509;9143;10875;11826;12777;13728
3.5;4284;4664;5043;5422;8250;9010;9768;10526;12390;13530;14661;15804
4;4414;4793;5172;5552;8514;9272;10030;10790;12789;13926;15063;16203
4.5;4915;5357;5799;6241;9521;10405;11289;12175;14301;15627;16953;18279
5;5045;5487;5929;6371;9785;10669;11553;12437;14700;16026;17352;18678
5.5;5547;6051;6556;7060;10794;11802;12812;13820;16215;17727;19242;20754
6;6065;6569;7074;7578;11834;12842;13852;14860;17778;19290;20805;22317
6.5;6567;7134;7701;8268;12843;13977;15111;16245;19293;20994;22695;24396
7;6696;7263;7830;8397;13105;14239;15373;16507;19689;21390;23091;24792
7.5;7198;7828;8457;9086;14114;15374;16632;17890;21204;23094;24981;26868
8;7328;7957;8586;9216;14378;15636;16894;18154;21603;23490;25377;27267
