Количество модулей;1 модуль;1 модуль;1 модуль;1 модуль;1 модуль;2 модуля;2 модуля;2 модуля;2 модуля;3 модуля;3 модуля;3 модуля;3 модуля;3 модуля
Вылет\Ширина (м);3;3.5;4;4.5;5;6;7;8;10;9;10.5;12;13.5;15
2.45;6878;7451;8025;8596;9368;13183;14329;15473;17763;19488;21200;22923;24643;26356
2.85;7529;8174;8820;9466;10311;14485;15775;17057;19649;21485;23376;25304;27252;29187
3.25;8179;8898;9617;10336;11255;15793;17223;18666;21537;23390;25548;27705;29862;32019
3.65;8830;9621;10414;11206;12198;17057;18671;20255;23442;25264;27720;30096;32472;34808
4.05;9481;10345;11211;12076;13142;18387;20117;21849;25347;27265;29891;32487;35083;37640
4.45;10131;11069;12008;12946;14085;19647;21565;23441;27297;29263;32001;34939;37497;40520
4.85;10782;11793;12805;13817;15028;20969;23013;25037;29083;31397;34253;37269;40305;43538
5.25;11433;12516;13602;14687;15972;22249;24459;26629;30971;33457;36502;39577;42795;46170
5.65;12083;13240;14398;15557;16915;23591;25907;28223;32857;35700;38574;42048;45522;48999
6.05;12734;13964;15195;16427;17859;24891;27355;29817;34743;37659;40786;44439;48105;51821
6.45;13384;14687;15992;17297;18802;26191;28801;31411;36631;39900;42395;46830;50745;54600
6.85;14035;15411;16789;18167;19745;27493;30249;33005;38517;40953;45087;49221;53355;57489
7.25;14685;16135;17585;19037;20689;28799;31681;35785;41591;44663;49038;53391;57744;62100
